Pie Bombs	Three jet black spheres, about the size of an apple, that smell distinctly of cooked pastry. 
Leather Armor	The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.
Padded Armor	Padded armor consists of quilted layers of cloth and batting.
Studded Armor	Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes.
Hide Armor	This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor.
Breastplate Armor	This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered.
Half Plate Armor	Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.
Chain Shirt Armor	Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers.
Scale Mail Armor	This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.
Ring Mail Armor	This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor.
Plate Armor	Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body.
Chain Mail Armor	Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.
Splint Armor	This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.
Shield	A shield is made from wood or metal and is carried in one hand.
Ammo Belt	This shoulder belt is ideally suited for holding sling bullets, darts, arrows or bolts.
Alchemist's Fire	This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.
Silver Ring	A simple silver ring that bears no inscription or identifying marks on it's surface.
Sharpening Sheath	A dagger sheath of hardened leather, set with a number of cheap decorative stones. Any dagger kept within this sheath is automatically sharpened as if it were a fresh blade.
Frosted Dagger	A simple dagger with a blue hilt. The blade is almost always covered in frost.
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
{1d50} copper pieces
Tin lantern, missing a candle
Polished wooden staff with simple carvings
Small sack of flour
Brass candlestick
Torn leather satchel
Set of iron manacles
Bottle of cheap wine
Small whetstone
Pair of well-worn leather boots
Pewter mug with a chipped rim
Woolen blanket, slightly moth-eaten
Clay jug with a narrow spout
Bundle of dried lavender
Small flask of weak ale
Rolled-up fishing net
Folded woolen scarf
Set of rusty caltrops
Simple leather belt with a brass buckle
Pair of heavy iron tongs
Sack of raw potatoes
Simple straw broom
Length of hempen rope
Wooden ladle
Iron hammer, head slightly loose
Old brass compass, needle stuck
Pair of wooden chopsticks
Leather-bound book of local legends
Rolled-up tapestry depicting a meadow
Bag of iron nails
Small brass spyglass, cracked lens
Pouch of coal dust
Wooden flute with a missing note hole
Small bucket of animal feed
Iron crowbar
Block of cheese, slightly moldy
Leather gloves, fingers worn through
Set of horse grooming brushes
A single horseshoe
Sack of onions
Small wooden chest with a broken hinge
Metal pot filled with cold stew
Pack of dried meat rations
Wooden birdcage with an open door
Folded oilcloth
Iron horseshoe nails in a tin can
Broken crossbow string
Set of wooden cooking spoons
Small wooden bucket with a rope handle
Iron kettle, blackened by soot
String of garlic bulbs
Small keg of cheap ale
Pair of woolen socks
Stoneware jug with faded glaze
Wooden shovel with a cracked handle
Small jar of pickled vegetables
Pouch of flour
Silver hairpin shaped like a leaf
Wooden mallet
Small vial of vinegar
Fishing pole with a frayed line
Sack of birdseed
Iron fireplace poker
Wooden crate filled with apples
Folded leather map case
Steel mirror with a leather backing
Wooden bucket filled with water
Iron spit for roasting meat
Half-full bottle of cooking oil
Small wooden crate of nails
Pouch of tobacco leaves
Set of tin plates
Bundle of firewood
Empty wineskin
Small pouch of soap flakes
Iron pot lid without a matching pot
Clay bowl with a chip on the rim
Pair of brass candlesticks
Pouch of dried tea leaves
Wooden dice cup with a crack down the side
Simple woolen cloak
Copper kettle with a dented side
Tin snuffbox with faded engravings
Wooden rake with several missing tines
Small jar of honey
Iron shovel with a rusty blade
Pair of bronze earrings shaped like leaves
Wooden needle case with a single needle
Sack of carrots
Set of wooden eating utensils
Folded cloth apron
Leather belt pouch with a drawstring
Small iron chisel
Bag of dried beans
Copper coin purse with a drawstring
Worn map of a nearby town
Pair of iron shears
Bundle of hay
Small iron frying pan
Old brass padlock with no key
Carved wooden totem in the shape of a fish
Simple clay mug
Torn piece of sailcloth
Set of iron tongs
Cracked lantern
Ragged leather coin purse
Bundle of sewing needles
Clay brick
Rusted garden trowel
Empty wine bottle
Wooden bucket with a crack
Wooden ladle
Silver locket, empty
Old, tattered woolen blanket
Small wooden mallet
Empty birdcage
Torn handkerchief
Oil lamp, out of fuel
Dull pair of scissors
A spool of thread
Small hand broom
Tools and Items of Use
Set of iron fishing weights
Half-used stick of chalk
Empty leather quiver
Broken wooden shield
Small hammer with a chipped head
Pair of work gloves
A single carpenter's nail
Old horseshoe file
Tarnished bronze chisel
Worn-out saddle bag
Coil of thin wire
A small pair of rusty pliers
A single whetstone
Broken pickaxe head
Folded bundle of rope
Pair of mud-caked boots
Set of carpenter's tools
Small hand-held bellows
Box of iron nails
Pouch of dried fish hooks
Large burlap sack
Empty spice jar
Metal flask with a dent
Small ceramic jar with a missing lid
Old clay vase
Worn-out coin pouch
A wooden crate, half-broken
Leather satchel with a torn strap
Empty steel flask
Permanently Damp Rag	A damp rag which carries a faint musty smell.
A cracked jewelry box
Decorative and Sentimental Items
Tiny brass figurine of a lion
Lace ribbon, slightly frayed
Painted ceramic bowl
Small wooden toy horse
Tarnished brass locket with an old photo inside
Folded paper crane
Bundle of dried flowers
Bronze ring engraved with leaves
Faded, water-stained family portrait
Worn-out stuffed animal
A simple brass hairpin
Small wooden carving of a ship
Woven basket, partially damaged
Brass candle snuffer
Pair of reading glasses
Bundle of old love letters
Dull iron pendant with a star symbol
Clay sculpture of a human face
Old tin picture frame
Broken porcelain doll head
Miscellaneous Mundane Items
Pack of dried tobacco leaves
Small iron cauldron
Wooden ruler, splintered at one end
Empty scroll case
Torn map of a faraway land
Folded paper fan
Old wooden stool with three legs
Leather-bound notebook, unused
Empty ink bottle with dried ink at the bottom
Broken hourglass
Woven straw fan
Rolled-up weathered parchment
Large seashell, cracked
A pack of wax sealing sticks
Silver spoon with a tarnished handle
Set of rusty hinges
Folded blanket, moth-eaten
Iron cooking pot
Glass pitcher with a chipped spout
Carved wooden cane
Tin whistle
A broken hand mirror
Worn straw broom
A feather duster
Torn leather belt
Silver pocket knife
Large glass jar with a cork lid
Set of mismatched iron keys
Cracked wooden picture frame
Small iron horseshoe charm
{CASE}Almanac	Reads '{ADJ} {NOUN}'
{CASE}Almanac	Reads '{ADJ} {NOUN}'
{CASE}Almanac	Reads '{ADJ} {NOUN}'
{CASE}Dictionary	Reads 'The Dictionary of {ADJ} {NOUN}'
{CASE}Dictionary	Reads 'The Dictionary of {ADJ} {NOUN}'
{CASE}Dictionary	Reads 'The Dictionary of {ADJ} {NOUN}'
{CASE}Dictionary	Reads 'The Dictionary of {ADJ} {NOUN}'
{CASE}Dictionary	Reads 'The Dictionary of {ADJ} {NOUN}'
{CASE}Book	Reads '{ADJ} {NOUN}'
{CASE}Book	Reads '{ADJ} {NOUN}'
{CASE}Book	Reads '{ADJ} {NOUN}'
{CASE}Book	Reads '{RACE} {NOUN}'
{CASE}Book	Reads '{RACE} {NOUN}'
{CASE}Book	Reads '{RACE} {NOUN}'
{CASE}Book	Reads '{COLOR} {NOUN}'
{CASE}Book	Reads '{COLOR} {NOUN}'
{CASE}Book	Reads '{COLOR} {NOUN}'
{CASE}Biography	Reads 'The Biography of {NAME}'
{CASE}Biography	Reads 'The Biography of {NAME}'
{CASE}Biography	Reads 'The Biography of {NAME}'
{CASE}Biography	Reads 'The Biography of {NAME}'
{CASE}Biography	Reads 'The Biography of {NAME}'
{CASE}Book	Reads 'Tales of {SUBJECT}'
{CASE}Book	Reads 'Tales of {SUBJECT}'
{CASE}Book	Reads 'Tales of {SUBJECT}'
{CASE}Book	Reads 'Tales of {SUBJECT}'
{CASE}Book	Reads 'The Legend of {SUBJECT}'
{CASE}Book	Reads 'The Legend of {SUBJECT}'
{CASE}Book	Reads 'The Legend of {SUBJECT}'
{CASE}Book	Reads 'The Legend of {SUBJECT}'
{CASE}Book	Reads 'The Legend of {SUBJECT}'
{CASE}Book	Reads 'The History of {SUBJECT}'
{CASE}Book	Reads 'The History of {SUBJECT}'
{CASE}Book	Reads 'The History of {SUBJECT}'
{CASE}Book	Reads 'The History of {SUBJECT}'
{CASE}Book	Reads 'The History of {SUBJECT}'
{CASE}Book	Reads 'The Short Stories of {SUBJECT}'
{CASE}Book	Reads 'The Short Stories of {SUBJECT}'
{CASE}Book	Reads 'The Short Stories of {SUBJECT}'
{CASE}Book	Reads 'The Short Stories of {SUBJECT}'
{CASE}Book	Reads 'The {SUBJECT}'
{CASE}Book	Reads 'The {SUBJECT}'
{CASE}Book	Reads 'The {SUBJECT}'
{CASE}Book	Reads 'The {SUBJECT}'
{CASE}Book	Reads 'The {SUBJECT}'
{CASE}Book	Reads 'The {SUBJECT}'
{CASE}Book	Reads 'The {SUBJECT}'
{CASE}Book	Reads 'The {SUBJECT}'
{CASE}Book	Reads '{SUBJECT}s'
{CASE}Book	Reads '{SUBJECT}s'
{CASE}Book	Reads '{SUBJECT}s'
{CASE}Book	Reads '{SUBJECT}s'
{CASE}Book	Reads '{SUBJECT}s'
{CASE}Book	Reads 'The {LOC} {BEAST}'
{CASE}Book	Reads 'The {LOC} {BEAST}'
{CASE}Book	Reads 'The {LOC} {BEAST}'
Bottle of rubbing alcohol
{CASE}Book	Reads 'The Study of {SUBJECT}'
{CASE}Book	Reads 'The Study of {SUBJECT}'
{CASE}Book	Reads 'The Study of {SUBJECT}'
An apple
An apricot
{1d12} arrows
A {MATERIAL} ashtray
A {COLOR} backpack capable of holding +{1d6} of weight
A {COLOR} backpack capable of holding +{1d6} of weight
A {COLOR} backpack capable of holding +{1d6} of weight
A makeshift badge	The stitching is crudely done
A {COLOR} bag
A {PATTERN} balaclava made of {FABRIC}
A {PATTERN} bandana made of {FABRIC}
A {COLOR} ball
A {PATTERN} bandolier made of {FABRIC}
A banner for {LOC}
A container filled with basil
A basket of {BEAST} skins
A tincture holding {1d100} {COLOR} beads
{1d4} duck beaks
{1d4} bird beaks
A sack of beans
A basket of bees	If party opens, beeswarm
A beehive tucked away in a basket	If party opens, beeswarm
{1d6} beef sticks
{1d4} beef flanks
{1d4} cuts of {BEAST} meat
{1d4} cuts of {BEAST} meat
{1d4} cuts of {BEAST} meat
{1d4} cuts of {BEAST} meat
{1d4} cuts of {BEAST} meat
{1d4} cuts of {BEAST} meat
{1d4} cuts of {BEAST} meat
{1d4} cuts of {BEAST} meat
{1d4} cuts of {BEAST} meat
{1d4} cuts of {BEAST} meat
Flask of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Flask of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Flask of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Bottle of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Bottle of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Bottle of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Bottle of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Bottle of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Bottle of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Bottle of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Cup of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Cup of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Cup of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Jug of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
Jug of {RACE} beer	{UP}{COLOR} color. {FLAVOR} taste
A {COLOR} belt made of {FABRIC}
A {COLOR} belt made of {FABRIC}
A {COLOR} belt made of {FABRIC}
{1d8} of {color}berries
A pair of bifocals
A {COLOR} bird's feather
{1d4} crisp biscuits
A {COLOR} blanket made from {FABRIC}
A wooden board
A pile of {BEAST} bones
{COLOR} leather boots
{COLOR} {BEAST}skin boots
A {COLOR} bowl made of {MATERIAL}
An arm brace made of {MATERIAL}
A leg brace made of {MATERIAL}
A bottle of {RACE} brandy
{1d6} slices of bread
A small hairbrush
A {SUBJECT} buckle made of {MATERIAL}
A butcher's knife
A cup of butter
A head of cabbage
A thorny cactus
A mug from the {UP}{NOUN} Cafe in {LOC}
A calendar
Camp supplies	A bedroll, water canteen, {1d4} food provisions, {1d50} ft of rope
{1d6} candles
{1d12} pieces of {COLOR} candy
A canteen	{1d100}% full
A blank canvas
{1d4} carrots
A case for reading glasses
The severed tongue of a cow
A spice jar of cayenne pepper
A plain, ceramic jar
A ceramic jar painted with a depiction of {SUBJ}
A jar containing {1d6} tea bags	From {LOC}. {FLAVOR} taste
A {COLOR}-painted teapot	Depicts a {SUBJECT}
A tent tarp
A terracotta vase	Painted {COLOR} and depicts a {SUBJECT}
A {COLOR} spool of {FABRIC} thread
A spicejar of thyme
A jar of cured tobacco
{1d6} prerolls of tobacco	Wrapped in papyrus. Derives from {LOC}.
{1d6} pieces of toffee
A {COLOR} toga made of {FABRIC}
{1d4} tomatoes
A bottle of tonic water
A {COLOR} tophat
A {COLOR} towel made of {FABRIC}
A children's toy of {SUBJECT}	Made in {LOC}
A children's toy of {SUBJECT}	Made in {LOC}
A children's toy of {SUBJECT}	Made in {LOC}
A children's toy of {SUBJECT}	Made in {LOC}
A children's toy of {SUBJECT}	Made in {LOC}
A portable eating tray
{1d20} tree seeds
A trenching mattock	{RACE} shovel used to dig trenches
A pair of {COLOR} trousers
{1d4} filets of trout
A garden trowel
A {COLOR} tunic	{UP}{PATTERN} pattern. Fit for a creature of a small build
A {COLOR} tunic	{UP}{PATTERN} pattern. Fit for a creature of a small build
A {COLOR} tunic	{UP}{PATTERN} pattern. Fit for a creature of a medium build
A {COLOR} tunic	{UP}{PATTERN} pattern. Fit for a creature of a medium build
A {COLOR} tunic	{UP}{PATTERN} pattern. Fit for a creature of a medium build
A {COLOR} tunic	{UP}{PATTERN} pattern. Fit for a creature of a medium build
A {COLOR} tunic	{UP}{PATTERN} pattern. Fit for a creature of a medium build
A {COLOR} tunic	{UP}{PATTERN} pattern. Fit for a creature of a medium build
A {COLOR} tunic	{UP}{PATTERN} pattern. Fit for a creature of a medium build
A {COLOR} tunic	{UP}{PATTERN} pattern. Fit for a creature of a large build
A {COLOR} tunic	{UP}{PATTERN} pattern. Fit for a creature of a large build
A {COLOR} tunic	{UP}{PATTERN} pattern. Fit for a creature of a large build
A {COLOR} tunic	{UP}{PATTERN} pattern. Fit for a creature of a large build
{1d6} turkey cutlets
A {COLOR} umbrella used to shade from the sun
Clean undergarments
A soldier's uniform
{1d6} cuts of venison
A bottle of apple vinegar
A bottle of {RACE} vodka
A bottle of {RACE} whiskey	{FLAVOR} taste
A bottle of {RACE} red wine	{FLAVOR} taste
A bottle of {RACE} white wine	{FLAVOR} taste
A bottle of {RACE} wine	{FLAVOR} taste
A {race} chess set
A spicejar of cinnamon
A jar of clover
A jar of cocoa powder
A bag of {race} coffee grounds
A gold coin with the face of {name}	Representing {loc}
A {material} compass
A small bag of walnuts
A small washcloth
A small jar of {COLOR} wax
A bag of wheat grains
{1d4} rolls of gauze
A wrench
A bag of yeast
A quarter slice of {RACE} {cheese}
A quarter slice of {RACE} {cheese}
A quarter slice of {RACE} {cheese}
A {RACE} cookbook
A cookbook from {LOC}
{1d4} chocolate-chip cookies
{1d4} cookies made with {SPICE}
A camp cot
A {GEM}
A {GEM}
A {GEM}
A {GEM}
A {GEM}
A {GEM}
A {GEM}
A {GEM}
A {GEM}
A {GEM}
A {GEM}
A {GEM}
A {GEM}
A {GEM}
A {GEM}
A translator codex for the {LANGUAGE} language
A translator codex for the {LANGUAGE} language
Earmuffs made of {mammal} fur
{1d4} {reptile} eggs
{1d4} {reptile} eggs
{1d4} {bird} eggs
{1d4} {bird} eggs
{1d4} {bird} eggs
{1d4} {bird} eggs
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
{1d4} {flora}	Plant samples
An unlabeled {color} elixir. Smells of {spice}	{condition}
An unlabeled {color} elixir. Smells of {spice}	{condition}
An unlabeled {color} elixir. Smells of {spice}	{condition}
An unlabeled {color} elixir. Smells of {spice}	{condition}
An unlabeled {color} elixir. Smells of {spice}	{condition}
An unlabeled {color} elixir. Smells of {spice}	{condition}
An unlabeled {color} elixir. Smells of {spice}	{condition}
An unlabeled {color} elixir. Smells of {spice}	{condition}
White-out	Blot out mistakes on paper
